,name,rank,reviews,stars,review_page,cat,print
0,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",#1,"256,226",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B08C1W5N87/ref=zg_bs_amazon-devices_cr_sccl_1/146-4176987-7531425?pd_rd_i=B08C1W5N87,Amazon Devices & Accessories,$39.99
1,"Ring Video Doorbell – 2020 release – 1080p HD video, improved motion detection, easy installation – Satin Nickel",#2,"112,689",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B0864SF4GC/ref=zg_bs_amazon-devices_cr_sccl_2/146-4176987-7531425?pd_rd_i=B0864SF4GC,Amazon Devices & Accessories,$89.99 - $199.98
2,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",#3,"936,447",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B07FZ8S74R/ref=zg_bs_amazon-devices_cr_sccl_3/146-4176987-7531425?pd_rd_i=B07FZ8S74R,Amazon Devices & Accessories,$29.99
3,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",#4,"69,684",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B08MQZXN1X/ref=zg_bs_amazon-devices_cr_sccl_4/146-4176987-7531425?pd_rd_i=B08MQZXN1X,Amazon Devices & Accessories,$54.99
4,"Amazon Smart Plug, for home automation, Works with Alexa - A Certified for Humans Device",#5,"508,565",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B07KTYJ769/ref=zg_bs_amazon-devices_cr_sccl_5/146-4176987-7531425?pd_rd_i=B07KTYJ769,Amazon Devices & Accessories,$24.99
5,Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,#6,"213,937",4.8 out of 5 stars,https://www.amazon.com/product-reviews/B08DLSLCF3/ref=zg_bs_amazon-devices_cr_sccl_6/146-4176987-7531425?pd_rd_i=B08DLSLCF3,Amazon Devices & Accessories,$49.99 - $77.98
6,"Blink Video Doorbell (Black) + Mini Camera (Black) with Sync Module 2 | Two-Way Audio, HD Video, Motion and Chime Alerts | Alexa Enabled",#7,"55,172",4.3 out of 5 stars,https://www.amazon.com/product-reviews/B09DFGMQWJ/ref=zg_bs_amazon-devices_cr_sccl_7/146-4176987-7531425?pd_rd_i=B09DFGMQWJ,Amazon Devices & Accessories,$49.99 - $279.98
7,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",#8,"505,383",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B07XJ8C8F5/ref=zg_bs_amazon-devices_cr_sccl_8/146-4176987-7531425?pd_rd_i=B07XJ8C8F5,Amazon Devices & Accessories,$39.99
8,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (Black)",#9,"200,207",4.4 out of 5 stars,https://www.amazon.com/product-reviews/B0B15SHYXY/ref=zg_bs_amazon-devices_cr_sccl_9/146-4176987-7531425?pd_rd_i=B0B15SHYXY,Amazon Devices & Accessories,$34.99 - $84.99
9,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",#10,"12,075",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B08KTZ8249/ref=zg_bs_amazon-devices_cr_sccl_10/146-4176987-7531425?pd_rd_i=B08KTZ8249,Amazon Devices & Accessories,$139.99
10,"Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",#11,"88,378",4.6 out of 5 stars,https://www.amazon.com/product-reviews/B08J8FFJ8H/ref=zg_bs_amazon-devices_cr_sccl_11/146-4176987-7531425?pd_rd_i=B08J8FFJ8H,Amazon Devices & Accessories,$39.99
